state,year,hay_alf_acres,alf_irrigated_acres,alf_non_irrigated_acres_harvested,hay_alf_tons,alf_irrigated_production_tons,non_irrigated_production,irrigation_share,hay_alfalfa_yield_tons_per_acre,alf_irrigated_yield_tons_per_acre,alf_non_irrigated_yield_tons_per_acre,haylage_acres,haylage_production,haylage_irrigated_acres,haylage_irrigated_ops
California,2017,1471596,727299,744297,9416210,NA,NA,0.4942246377402494,6.8,NA,NA,147318,857704,71083,362
California,2018,620000,NA,NA,4278000,NA,NA,NA,6.9,NA,NA,80000,496000,NA,NA
California,2019,580000,NA,NA,4118000,NA,NA,NA,7.1,NA,NA,60000,384000,NA,NA
California,2020,475000,NA,NA,3420000,NA,NA,NA,7.2,NA,NA,60000,468000,NA,NA
California,2021,500000,NA,NA,3700000,NA,NA,NA,7.4,NA,NA,80000,536000,NA,NA
California,2022,1383692,868823,514869,9135847,NA,NA,0.6279020186573313,7.2,NA,NA,118993,683609,65004,279
California,2023,480000,NA,NA,3120000,NA,NA,NA,6.5,NA,NA,60000,438000,NA,NA
California,2024,480000,NA,NA,3168000,NA,NA,NA,6.6,NA,NA,50000,305000,NA,NA
California,2025,460000,NA,NA,3128000,NA,NA,NA,6.8,NA,NA,50000,375000,NA,NA
Colorado,2005,800000,700000,100000,2960000,2860000,100000,0.875,3.7,4.1,1,NA,NA,NA,NA
Colorado,2006,780000,680000,100000,2964000,2839000,125000,0.8717948717948718,3.8,4.2,1.25,NA,NA,NA,NA
Colorado,2007,1681053,1407234,120000,5921865,2890000,144000,0.8371145942453926,3.7,4.15,1.2,22484,117509,20479,233
Colorado,2008,820000,720000,100000,2706000,2605000,101000,0.8780487804878049,3.3,3.6,1,NA,NA,NA,NA
Colorado,2009,850000,NA,NA,3315000,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA
Colorado,2010,820000,NA,NA,2870000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Colorado,2011,800000,NA,NA,2880000,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA
Colorado,2012,1334284,560868,773416,4092795,NA,NA,0.4203512895305647,3.3,NA,NA,22589,110927,20828,243
Colorado,2013,650000,NA,NA,1885000,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
Colorado,2014,740000,NA,NA,2516000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Colorado,2015,700000,NA,NA,2870000,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA
Colorado,2016,680000,NA,NA,2380000,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA
Colorado,2017,1464249,659495,804754,5042530,NA,NA,0.4503981221773073,3.7,NA,NA,38763,231827,35989,490
Colorado,2018,730000,NA,NA,2482000,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA
Colorado,2019,730000,NA,NA,2701000,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA
