year,state,county,"HAY, ALFALFA - ACRES HARVESTED","HAY, ALFALFA - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, IRRIGATED - YIELD, MEASURED IN TONS / ACRE","HAY, ALFALFA, NON-IRRIGATED - ACRES HARVESTED","HAY, ALFALFA, NON-IRRIGATED - PRODUCTION, MEASURED IN TONS","HAY, ALFALFA, NON-IRRIGATED - YIELD, MEASURED IN TONS / ACRE",irr_share
2022,California,San Bernardino,3724,18814,5.052094522019334,3724,NA,NA,NA,NA,NA,1
2007,California,San Diego,183,660,3.6065573770491803,0,NA,NA,NA,NA,NA,0
2012,California,San Diego,0,0,NA,0,NA,NA,NA,NA,NA,NA
2017,California,San Diego,585,2506,4.283760683760684,0,NA,NA,NA,NA,NA,0
2022,California,San Diego,0,0,NA,0,NA,NA,NA,NA,NA,NA
2007,California,San Joaquin,56969,394624,6.926995383454159,54873,NA,NA,NA,NA,NA,0.9632080605241448
2012,California,San Joaquin,46785,294327,6.291054825264508,44995,NA,NA,NA,NA,NA,0.9617398738912044
2017,California,San Joaquin,47661,264682,5.553429428673339,47232,NA,NA,NA,NA,NA,0.9909989299427204
2022,California,San Joaquin,51192,299266,5.8459524925769655,49278,NA,NA,NA,NA,NA,0.962611346
2007,California,San Luis Obispo,0,25519,Inf,0,NA,NA,NA,NA,NA,NA
2012,California,San Luis Obispo,3797,20309,5.348696339,3607,NA,NA,NA,NA,NA,0.9499604951277324
2017,California,San Luis Obispo,1712,9228,5.390186915887851,1370,NA,NA,NA,NA,NA,0.8002336448598131
2022,California,San Luis Obispo,749,3613,4.823765020026702,476,NA,NA,NA,NA,NA,0.6355140186915887
2007,California,San Mateo,0,0,NA,0,NA,NA,NA,NA,NA,NA
2017,California,San Mateo,0,0,NA,0,NA,NA,NA,NA,NA,NA
2022,California,San Mateo,0,0,NA,0,NA,NA,NA,NA,NA,NA
2007,California,Santa Barbara,841,6123,7.280618311533888,0,NA,NA,NA,NA,NA,0
2012,California,Santa Barbara,621,4856,7.819645732689211,482,NA,NA,NA,NA,NA,0.7761674718196457
2017,California,Santa Barbara,1180,8872,7.518644068,1020,NA,NA,NA,NA,NA,0.86440678
2022,California,Santa Barbara,1000,5625,5.625,828,NA,NA,NA,NA,NA,0.828
2007,California,Santa Clara,1213,7268,5.9917559769167354,893,NA,NA,NA,NA,NA,0.7361912613355317
2012,California,Santa Clara,0,0,NA,0,NA,NA,NA,NA,NA,NA
2017,California,Santa Clara,620,2852,4.6,530,NA,NA,NA,NA,NA,0.8548387096774194
2022,California,Santa Clara,268,118,0.44029850746268656,NA,NA,NA,NA,NA,NA,NA
2017,California,Santa Cruz,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2007,California,Shasta,4894,21418,4.3763792398855745,4458,NA,NA,NA,NA,NA,0.9109113199836535
2012,California,Shasta,2191,9268,4.2300319488817895,2099,NA,NA,NA,NA,NA,0.9580100410771337
2017,California,Shasta,3983,16014,4.020587496861662,1567,NA,NA,NA,NA,NA,0.3934220436856641
2022,California,Shasta,1994,7721,3.8721163490471415,1569,NA,NA,NA,NA,NA,0.7868605817452357
2007,California,Sierra,1064,3594,3.3778195488721803,882,NA,NA,NA,NA,NA,0.8289473684210527
2012,California,Sierra,1158,2771,2.3929188255613125,0,NA,NA,NA,NA,NA,0
2017,California,Sierra,1077,3981,3.6963788300835656,1050,NA,NA,NA,NA,NA,0.9749303621169917
2022,California,Sierra,1459,4524,3.1007539410555176,1459,NA,NA,NA,NA,NA,1
2007,California,Siskiyou,59216,267718,4.521041610375574,53651,NA,NA,NA,NA,NA,0.906022021
